repo,relpath,reason,matched_patterns,size_bytes,sha256,source
gnina,docs/tutorial/layers/exp.md,content,cuda,858,bf731709af80f613c7988cc7b5a0ecf17a8912a5690d92b44c1918c7494cbb54,/home/zhiheng/Documents/Work/Noah/Tasks/Project/bioagent/opensource/gnina/docs/tutorial/layers/exp.md
gnina,docs/tutorial/layers/filter.md,content,cuda,628,1f054be0b79b44ba88c28f37ce779167274af4e5fd51835f445e75c623530c62,/home/zhiheng/Documents/Work/Noah/Tasks/Project/bioagent/opensource/gnina/docs/tutorial/layers/filter.md
gnina,docs/tutorial/layers/hdf5data.md,content,cuda,877,809d8134d2d361fe19e2f247430486f02d2434265136dbeea5b53c9953359831,/home/zhiheng/Documents/Work/Noah/Tasks/Project/bioagent/opensource/gnina/docs/tutorial/layers/hdf5data.md
gnina,docs/tutorial/layers/hdf5output.md,content,cuda,1093,ee437b6bebe790fd31480ab722422629353ae3f3d0197b5a1413dcd1c296eb58,/home/zhiheng/Documents/Work/Noah/Tasks/Project/bioagent/opensource/gnina/docs/tutorial/layers/hdf5output.md
gnina,docs/tutorial/layers/im2col.md,content,cuda,708,5f0af8496e2694f97dd73a9f5e0e2fd05a7108a10161462ea4f35f86fef6b6aa,/home/zhiheng/Documents/Work/Noah/Tasks/Project/bioagent/opensource/gnina/docs/tutorial/layers/im2col.md
gnina,docs/tutorial/layers/infogainloss.md,content,cuda,1218,bf41371612a1c734bc36ec35e0657718ff951d37c9dd377bebf92b1155f2a4ab,/home/zhiheng/Documents/Work/Noah/Tasks/Project/bioagent/opensource/gnina/docs/tutorial/layers/infogainloss.md
gnina,docs/tutorial/layers/innerproduct.md,content,cuda,2189,2c11323b3c982e6f15b95f9e830f1de09630264f845e47af51933b296c3cb36c,/home/zhiheng/Documents/Work/Noah/Tasks/Project/bioagent/opensource/gnina/docs/tutorial/layers/innerproduct.md
gnina,docs/tutorial/layers/log.md,content,cuda,800,abff799b3039b80d419cc4854c8a5419929167812f104585eb7a3aa61c18bc30,/home/zhiheng/Documents/Work/Noah/Tasks/Project/bioagent/opensource/gnina/docs/tutorial/layers/log.md
gnina,docs/tutorial/layers/lrn.md,content,cuda,1996,fb8c76fc07cfd5fe0944ae08f692550307b223bab4e7a6deb3053fd13a54cf4e,/home/zhiheng/Documents/Work/Noah/Tasks/Project/bioagent/opensource/gnina/docs/tutorial/layers/lrn.md
gnina,docs/tutorial/layers/lstm.md,content,cuda,995,fff092bc52b2e7512e6e44c17e133dbfb1447da48750fccf55c470f0a78629fa,/home/zhiheng/Documents/Work/Noah/Tasks/Project/bioagent/opensource/gnina/docs/tutorial/layers/lstm.md
gnina,docs/tutorial/layers/mvn.md,content,cuda,863,dc07b39e160bed62d055d74e9be82bcfb97ec0ed5026e8eac4745d84eafe8a56,/home/zhiheng/Documents/Work/Noah/Tasks/Project/bioagent/opensource/gnina/docs/tutorial/layers/mvn.md
gnina,docs/tutorial/layers/pooling.md,content,cuda,1947,c85445f61d9ba463b8b9920152cb59c6f96007ecab029d168756cfcba6d4ae32,/home/zhiheng/Documents/Work/Noah/Tasks/Project/bioagent/opensource/gnina/docs/tutorial/layers/pooling.md
gnina,docs/tutorial/layers/power.md,content,cuda,1288,d7c40492c9a36c67968b36d0b0f7f9550fdd4dd60e4649257969bd8c9d11a45a,/home/zhiheng/Documents/Work/Noah/Tasks/Project/bioagent/opensource/gnina/docs/tutorial/layers/power.md
gnina,docs/tutorial/layers/prelu.md,content,cuda,829,c6727844de309859bb5227cec5f299798becba91f0ba3e3e49bd2153a462a864,/home/zhiheng/Documents/Work/Noah/Tasks/Project/bioagent/opensource/gnina/docs/tutorial/layers/prelu.md
gnina,docs/tutorial/layers/python.md,content,nvidia,1019,ea12243497f21e47aa40355cba52ab9416532d26c38ffec648f304fff9b19b1c,/home/zhiheng/Documents/Work/Noah/Tasks/Project/bioagent/opensource/gnina/docs/tutorial/layers/python.md
gnina,docs/tutorial/layers/recurrent.md,content,cuda,881,cb8e6b562065d409cb85e96592868254eb7755ec0b7ae2a81a2e70360d52a2a2,/home/zhiheng/Documents/Work/Noah/Tasks/Project/bioagent/opensource/gnina/docs/tutorial/layers/recurrent.md
gnina,docs/tutorial/layers/reduction.md,content,cuda,881,8ff5ca8e58d054ba55a3ccf018c33678b026d35d5cc85c5fe0dd6a47df773ee3,/home/zhiheng/Documents/Work/Noah/Tasks/Project/bioagent/opensource/gnina/docs/tutorial/layers/reduction.md
gnina,docs/tutorial/layers/relu.md,content,cuda,1687,d6897587c53754c757cf5b45d714608ae57ed6705d826ca218dc35860eb7885d,/home/zhiheng/Documents/Work/Noah/Tasks/Project/bioagent/opensource/gnina/docs/tutorial/layers/relu.md
gnina,docs/tutorial/layers/scale.md,content,cuda,829,f77bbbc42ccde3839d4b7dc83badb5d27bd992750ddbca0db801a52f0b2690fe,/home/zhiheng/Documents/Work/Noah/Tasks/Project/bioagent/opensource/gnina/docs/tutorial/layers/scale.md
gnina,docs/tutorial/layers/sigmoid.md,content,cuda,855,3dd39c1b511063fa5126e5bf5eee8b7ad9e0de110bf12f607e728f1512a7e515,/home/zhiheng/Documents/Work/Noah/Tasks/Project/bioagent/opensource/gnina/docs/tutorial/layers/sigmoid.md
gnina,docs/tutorial/layers/sigmoidcrossentropyloss.md,content,cuda,784,942744c752c9b1c6bbdb8d3c8fe17269ed422944de8c5140189d62acb0b52fc9,/home/zhiheng/Documents/Work/Noah/Tasks/Project/bioagent/opensource/gnina/docs/tutorial/layers/sigmoidcrossentropyloss.md
gnina,docs/tutorial/layers/silence.md,content,cuda,903,f489df403c9aa1f2116a2b24423762c410f2f5ac55fd8bd898f22fb89ec3efc1,/home/zhiheng/Documents/Work/Noah/Tasks/Project/bioagent/opensource/gnina/docs/tutorial/layers/silence.md
gnina,docs/tutorial/layers/slice.md,content,cuda,1501,26515e2d8ca3cee750cc7d3589da40d6c08b75b5cf0ffd7187b3d1497359abbf,/home/zhiheng/Documents/Work/Noah/Tasks/Project/bioagent/opensource/gnina/docs/tutorial/layers/slice.md
gnina,docs/tutorial/layers/softmax.md,content,cuda,914,9dda8fd6aea61527bcf09d9df3a8f3c141ada65cef69de1890db8a4cb4d5d038,/home/zhiheng/Documents/Work/Noah/Tasks/Project/bioagent/opensource/gnina/docs/tutorial/layers/softmax.md
gnina,docs/tutorial/layers/softmaxwithloss.md,content,cuda,1442,59b0b17a04dd90f014a00273415d2714299749a5ad0bcffd0f12ff11a85e6f10,/home/zhiheng/Documents/Work/Noah/Tasks/Project/bioagent/opensource/gnina/docs/tutorial/layers/softmaxwithloss.md
gnina,docs/tutorial/layers/split.md,content,cuda,769,b3520843d07521164d37dbd152261f6ad9b02392690bbb8e3b14af5b3c087a29,/home/zhiheng/Documents/Work/Noah/Tasks/Project/bioagent/opensource/gnina/docs/tutorial/layers/split.md
gnina,docs/tutorial/layers/tanh.md,content,cuda,699,fbb49be6a3878d83cbc6ab6f3eaf853d78449aec5482b5737f8f90dfec9c0db3,/home/zhiheng/Documents/Work/Noah/Tasks/Project/bioagent/opensource/gnina/docs/tutorial/layers/tanh.md
gnina,docs/tutorial/layers/threshold.md,content,cuda,754,a766f6a0929e3cf14aa435b0b18f6dde691d4eceb9ed1759a69087f252e0b4d1,/home/zhiheng/Documents/Work/Noah/Tasks/Project/bioagent/opensource/gnina/docs/tutorial/layers/threshold.md
gnina,docs/tutorial/layers/tile.md,content,cuda,816,394e7626512de6bd134440283d25cd29c9edd878b7f2d9b24b14f692e295e6f2,/home/zhiheng/Documents/Work/Noah/Tasks/Project/bioagent/opensource/gnina/docs/tutorial/layers/tile.md
haddock3,README.md,readme,,5778,1e2674725a3e48fc0057f7a7a149866b6718930f9d89f7c5bfb680f9ec82f51a,/home/zhiheng/Documents/Work/Noah/Tasks/Project/bioagent/opensource/haddock3/README.md
la-proteina,README.md,readme,nvidia,19592,5ba8764d243b5964b694562f06acb71a04769af6504a48cc6d92a554e544897e,/home/zhiheng/Documents/Work/Noah/Tasks/Project/bioagent/opensource/la-proteina/README.md
lightdock,README.md,readme,,5581,c3a4b2a3e2be1ffae45d26a93eed41d3fcb56cf6bcc023906269a730df7bf6e8,/home/zhiheng/Documents/Work/Noah/Tasks/Project/bioagent/opensource/lightdock/README.md
megalodon,README.md,readme,"nvidia,cuda",7530,8d6d1099d6d50209565041b5ee5dfabeb9670ead040d54b51afb338ea332051b,/home/zhiheng/Documents/Work/Noah/Tasks/Project/bioagent/opensource/megalodon/README.md
megalodon,requirements.txt,content,cuda,567,75fd4ebe95c1bbfa082eb5df82d7626b8861cb463442583434ff547b0dd91918,/home/zhiheng/Documents/Work/Noah/Tasks/Project/bioagent/opensource/megalodon/requirements.txt
